,date,TICKER,PRC,RET,SHROUT
3101,30/04/2009,AAPL,125.83,0.005514,892110.0
3102,01/05/2009,AAPL,127.24,0.011206,892110.0
3103,04/05/2009,AAPL,132.07001,0.037960,892110.0
3104,05/05/2009,AAPL,132.71001,0.004846,892110.0
3105,06/05/2009,AAPL,132.5,-0.001582,892110.0
3106,07/05/2009,AAPL,129.06,-0.025962,892110.0
3107,08/05/2009,AAPL,129.19,0.001007,892110.0
3108,11/05/2009,AAPL,129.57001,0.002941,892110.0
3109,12/05/2009,AAPL,124.42,-0.039747,892110.0
3110,13/05/2009,AAPL,119.49,-0.039624,892110.0
3111,14/05/2009,AAPL,122.95,0.028956,892110.0
3112,15/05/2009,AAPL,122.42,-0.004311,892110.0
3113,18/05/2009,AAPL,126.65,0.034553,892110.0
3114,19/05/2009,AAPL,127.45,0.006317,892110.0
3115,20/05/2009,AAPL,125.87,-0.012397,892110.0
3116,21/05/2009,AAPL,124.18,-0.013427,892110.0
3117,22/05/2009,AAPL,122.5,-0.013529,892110.0
3118,26/05/2009,AAPL,130.78,0.067592,892110.0
3119,27/05/2009,AAPL,133.05,0.017357,892110.0
3120,28/05/2009,AAPL,135.07001,0.015182,892110.0
3121,29/05/2009,AAPL,135.81,0.005479,892110.0
3122,01/06/2009,AAPL,139.35001,0.026066,892110.0
3123,02/06/2009,AAPL,139.49001,0.001005,892110.0
3124,03/06/2009,AAPL,140.95,0.010467,892110.0
3125,04/06/2009,AAPL,143.74001,0.019794,892110.0
3126,05/06/2009,AAPL,144.67,0.006470,892110.0
3127,08/06/2009,AAPL,143.85001,-0.005668,892110.0
3128,09/06/2009,AAPL,142.72,-0.007855,892110.0
3129,10/06/2009,AAPL,140.25,-0.017307,892110.0
3130,11/06/2009,AAPL,139.95,-0.002139,892110.0
3131,12/06/2009,AAPL,136.97,-0.021293,892110.0
3132,15/06/2009,AAPL,136.09,-0.006425,892110.0
3133,16/06/2009,AAPL,136.35001,0.001911,892110.0
3134,17/06/2009,AAPL,135.58,-0.005647,892110.0
3135,18/06/2009,AAPL,135.88,0.002213,892110.0
3136,19/06/2009,AAPL,139.48,0.026494,892110.0
3137,22/06/2009,AAPL,137.37,-0.015128,892110.0
3138,23/06/2009,AAPL,134.00999,-0.024459,892110.0
3139,24/06/2009,AAPL,136.22,0.016491,892110.0
3140,25/06/2009,AAPL,139.86,0.026721,892110.0
3141,26/06/2009,AAPL,142.44,0.018447,895735.0
3142,29/06/2009,AAPL,141.97,-0.003300,895735.0
3143,30/06/2009,AAPL,142.42999,0.003240,895735.0
3144,01/07/2009,AAPL,142.83,0.002808,895735.0
3145,02/07/2009,AAPL,140.02,-0.019674,895735.0
3146,06/07/2009,AAPL,138.61,-0.010070,895735.0
3147,07/07/2009,AAPL,135.39999,-0.023159,895735.0
3148,08/07/2009,AAPL,137.22,0.013442,895735.0
3149,09/07/2009,AAPL,136.36,-0.006267,895735.0
3150,10/07/2009,AAPL,138.52,0.015840,895735.0
3151,13/07/2009,AAPL,142.34,0.027577,895817.0
3152,14/07/2009,AAPL,142.27,-0.000492,895817.0
3153,15/07/2009,AAPL,146.88,0.032403,895817.0
3154,16/07/2009,AAPL,147.52,0.004357,895817.0
3155,17/07/2009,AAPL,151.75,0.028674,895817.0
3156,20/07/2009,AAPL,152.909,0.007638,895817.0
3157,21/07/2009,AAPL,151.50999,-0.009149,895817.0
3158,22/07/2009,AAPL,156.74001,0.034519,895817.0
3159,23/07/2009,AAPL,157.82001,0.006890,895817.0
3160,24/07/2009,AAPL,159.98599,0.013724,895817.0
3161,27/07/2009,AAPL,160.10001,0.000713,895817.0
3162,28/07/2009,AAPL,160.0,-0.000625,895817.0
3163,29/07/2009,AAPL,160.03,0.000187,895817.0
3164,30/07/2009,AAPL,162.78999,0.017247,895817.0
3165,31/07/2009,AAPL,163.39,0.003686,895817.0
3166,03/08/2009,AAPL,166.42999,0.018606,895817.0
3167,04/08/2009,AAPL,165.55,-0.005287,895817.0
3168,05/08/2009,AAPL,165.11,-0.002658,895817.0
3169,06/08/2009,AAPL,163.91,-0.007268,895817.0
3170,07/08/2009,AAPL,165.50999,0.009761,895817.0
3171,10/08/2009,AAPL,164.72,-0.004773,895817.0
3172,11/08/2009,AAPL,162.83,-0.011474,895817.0
3173,12/08/2009,AAPL,165.31,0.015231,895817.0
3174,13/08/2009,AAPL,168.42,0.018813,895817.0
3175,14/08/2009,AAPL,166.78,-0.009738,895817.0
3176,17/08/2009,AAPL,159.59,-0.043111,895817.0
3177,18/08/2009,AAPL,164.0,0.027633,895817.0
3178,19/08/2009,AAPL,164.60001,0.003659,895817.0
3179,20/08/2009,AAPL,166.33,0.010510,895817.0
3180,21/08/2009,AAPL,169.22,0.017375,895817.0
3181,24/08/2009,AAPL,169.06,-0.000946,895817.0
3182,25/08/2009,AAPL,169.39999,0.002011,895817.0
3183,26/08/2009,AAPL,167.41,-0.011747,895817.0
3184,27/08/2009,AAPL,169.45,0.012186,895817.0
3185,28/08/2009,AAPL,170.05,0.003541,895817.0
3186,31/08/2009,AAPL,168.21001,-0.010820,895817.0
3187,01/09/2009,AAPL,165.298,-0.017312,895817.0
3188,02/09/2009,AAPL,165.17999,-0.000714,895817.0
3189,03/09/2009,AAPL,166.55,0.008294,895817.0
3190,04/09/2009,AAPL,170.31,0.022576,895817.0
3191,08/09/2009,AAPL,172.92999,0.015384,895817.0
3192,09/09/2009,AAPL,171.14,-0.010351,895817.0
3193,10/09/2009,AAPL,172.56,0.008297,895817.0
3194,11/09/2009,AAPL,172.16,-0.002318,895817.0
3195,14/09/2009,AAPL,173.72,0.009061,895817.0
3196,15/09/2009,AAPL,175.16,0.008289,895817.0
3197,16/09/2009,AAPL,181.87,0.038308,895817.0
3198,17/09/2009,AAPL,184.55,0.014736,895817.0
3199,18/09/2009,AAPL,185.02,0.002547,895817.0
3200,21/09/2009,AAPL,184.02,-0.005405,895817.0
3201,22/09/2009,AAPL,184.48,0.002500,895817.0
3202,23/09/2009,AAPL,185.5,0.005529,895817.0
3203,24/09/2009,AAPL,183.82001,-0.009057,895817.0
3204,25/09/2009,AAPL,182.37,-0.007888,899806.0
3205,28/09/2009,AAPL,186.1519,0.020738,899806.0
3206,29/09/2009,AAPL,185.38,-0.004147,899806.0
3207,30/09/2009,AAPL,185.35001,-0.000162,899806.0
3208,01/10/2009,AAPL,180.85988999999998,-0.024225,899806.0
3209,02/10/2009,AAPL,184.89999,0.022338,899806.0
3210,05/10/2009,AAPL,186.024,0.006079,899806.0
3211,06/10/2009,AAPL,190.00999,0.021427,899806.0
3212,07/10/2009,AAPL,190.25,0.001263,899806.0
3213,08/10/2009,AAPL,189.27,-0.005151,899806.0
3214,09/10/2009,AAPL,190.47,0.006340,899806.0
3215,12/10/2009,AAPL,190.81,0.001785,899806.0
3216,13/10/2009,AAPL,190.02,-0.004140,899806.0
3217,14/10/2009,AAPL,191.28999,0.006683,899806.0
3218,15/10/2009,AAPL,190.56,-0.003816,899806.0
3219,16/10/2009,AAPL,188.05,-0.013172,900678.0
3220,19/10/2009,AAPL,189.86,0.009625,900678.0
3221,20/10/2009,AAPL,198.75999,0.046877,900678.0
3222,21/10/2009,AAPL,204.92,0.030992,900678.0
3223,22/10/2009,AAPL,205.2,0.001366,900678.0
3224,23/10/2009,AAPL,203.94,-0.006140,900678.0
3225,26/10/2009,AAPL,202.48,-0.007159,900678.0
3226,27/10/2009,AAPL,197.37,-0.025237,900678.0
3227,28/10/2009,AAPL,192.39999,-0.025181,900678.0
3228,29/10/2009,AAPL,196.35001,0.020530,900678.0
3229,30/10/2009,AAPL,188.5,-0.039980,900678.0
3230,02/11/2009,AAPL,189.31,0.004297,900678.0
3231,03/11/2009,AAPL,188.75,-0.002958,900678.0
3232,04/11/2009,AAPL,190.81,0.010914,900678.0
3233,05/11/2009,AAPL,194.03011,0.016876,900678.0
3234,06/11/2009,AAPL,194.34,0.001597,900678.0
3235,09/11/2009,AAPL,201.46001,0.036637,900678.0
3236,10/11/2009,AAPL,202.98,0.007545,900678.0
3237,11/11/2009,AAPL,203.25,0.001330,900678.0
